UniProt ID,293T,HeLa,K562,group
Q9Y6M9,4.517111721,4.714120319,3.052407184,mito
Q9Y6C9,2.585096666,2.726373777,2.532024081,mito
Q9Y678,1.403329854,1.857591274,1.305304319,other
Q9Y619,4.137590953,4.032183109,1.98026308,mito
Q9Y606,3.823087407,4.028094456,1.896188585,mito
Q9Y5M8,2.060038128,2.311746735,3.408665738,other
Q9Y5L0,1.33910973,2.151595047,1.629120903,other
Q9Y5B9,0.771482255,1.153652047,1.633664578,other
Q9Y4W6,2.318786065,4.350541424,2.248149207,mito
Q9Y490,1.300262206,1.159655092,1.62441761,other
Q9Y3F4,1.478197235,1.737947804,1.599369444,other
Q9Y3E5,3.112796486,3.348376315,2.481992335,mito
Q9Y399,1.940833703,2.387733641,2.255871949,mito
Q9Y320,1.612406508,1.230303875,1.89765828,mito
Q9Y305,2.832953299,3.392422347,1.570693293,mito
Q9Y2Z4,2.178269072,3.055556146,2.643045067,mito
Q9Y2Z2,1.947931911,3.543884378,3.184751462,mito
Q9Y2U8,1.725673227,1.927288045,1.371024902,other
Q9Y2S7,4.111689096,4.030379103,3.175771001,mito
Q9Y2Q3,2.610892168,2.855552085,3.072987782,mito
Q9Y277,2.299099201,2.809113986,2.678200763,mito
Q9Y276,2.147206809,2.641701675,2.571202769,mito
Q9Y263,2.735445323,1.295318446,1.032074845,other
Q9Y262,1.684306205,1.484972404,1.76156017,other
Q9UQ80,0.653294908,0.735901498,1.283055719,other
Q9UMS0,2.836038162,2.399795037,3.29750641,mito
Q9ULV4,2.068719292,1.703609678,1.44403701,other
Q9UJZ1,3.311635224,3.308515218,2.791361933,mito
Q9UJS0,2.909109453,2.955956789,2.765914465,mito
Q9UI26,2.177340625,2.495872966,2.094579395,other
Q9UHG3,0.841042503,1.082871197,1.39328727,other
Q9UHD1,1.527582691,1.645165739,1.807912887,other
Q9UH99,1.705714766,2.074255524,2.168679396,other
Q9UH62,3.498855113,3.974870482,2.862837149,mito
Q9UGP8,1.888861886,2.295363442,0.939510325,other
Q9UBX3,3.485956663,3.422356775,2.608175565,mito
Q9UBQ7,2.549651331,5.476619014,2.934256135,mito
Q9UBM7,1.20918128,1.435353544,1.496931586,other
Q9UBB4,1.06769664,1.534024122,1.779605597,other
Q9P2X0,2.96988396,3.412429569,2.482499692,other
Q9P2R7,3.479046994,2.135956728,0.968967813,mito
Q9P0S9,2.343634913,3.282482432,2.522626171,mito
Q9P0L0,2.92162676,2.921027639,1.994145397,MAM
Q9P035,2.20552283,1.840049101,1.7550968,other
Q9NZJ7,2.012346175,2.441451934,2.073503491,mito
Q9NZJ6,4.343503728,2.528008722,2.929297159,mito
Q9NZ01,1.91689782,1.82173839,1.592658197,other
Q9NYY8,3.062303522,3.759138482,2.57879142,mito
Q9NYK5,3.728340744,3.773408067,2.774415601,mito
Q9NXH9,1.699591936,1.564203941,3.668838792,mito
Q9NX40,2.784875076,3.552681471,3.137803096,mito
Q9NWU5,2.913140182,3.191589914,1.687896731,mito
Q9NWS8,1.99819065,2.464785746,1.9220215,mito
Q9NWH2,3.943356871,0.50819056,2.93905793,mito
Q9NVV4,3.465858754,4.230391649,4.039593928,mito
Q9NVI7,4.87975036,4.939294839,4.280817451,mito
Q9NVH6,3.436934901,2.664280261,1.39798032,mito
Q9NVH1,2.41818193,2.371769896,2.10179673,mito
Q9NUJ1,3.508808828,2.72019605,2.479313999,mito
Q9NTX5,2.256059148,1.490372964,2.18697392,mito
Q9NTJ5,1.78505374,1.998793528,1.536334008,other
Q9NSE4,3.683350307,3.328008848,3.055546274,mito
Q9NRK6,2.497980262,2.114383205,1.989017163,mito
Q9NRG9,1.636795964,1.961095279,2.090596187,other
Q9NR30,1.036519397,0.171699572,1.600228435,mito
Q9NQZ5,2.407177818,2.223324526,1.445541839,mito
Q9NQC3,1.496093863,1.01645332,1.532074192,other
Q9NPL8,2.166816568,2.462430599,2.071382657,mito
Q9NP92,4.38575296,4.248141212,3.926386423,mito
Q9NP81,1.75643186,2.797755649,2.109149387,mito
Q9NP80,3.799766199,1.751102578,3.776820638,mito
Q9NNW7,3.337779968,2.784188215,2.38997108,mito
Q9HD45,1.510405205,1.628649237,1.302936317,other
Q9HD20,1.577531661,1.491580103,1.652009067,other
Q9HCC0,2.695576573,3.108151633,2.844790545,mito
Q9HC36,3.233342852,2.625847201,3.831696438,mito
Q9HC21,3.090157534,3.735363441,2.544674615,mito
Q9HC07,2.136284852,1.756191115,1.344273601,other
Q9HBH1,2.801256234,3.457099885,3.260708516,mito
Q9HAV7,3.724762067,3.911878093,3.30965378,mito
Q9HA92,3.231647971,2.889172809,3.853882242,mito
Q9HA77,3.114344958,3.436957865,1.221318965,mito
Q9H9P8,2.525512621,3.105989445,2.537567166,mito
Q9H9J2,3.755044357,5.16270561,4.222200929,mito
Q9H9B4,3.490282382,4.169830171,3.577298249,mito
Q9H936,4.465943797,4.456424124,3.733199978,mito
Q9H8H3,1.534887913,2.390144384,1.249281885,other
Q9H857,3.126856414,2.957805093,2.429930372,mito
Q9H845,1.734722017,2.7921669,2.452677922,mito
Q9H7Z7,1.346517072,1.465872484,1.089227156,mito
Q9H5Q4,4.454929373,4.055709989,3.305171643,mito
Q9H4I3,2.985484458,2.453925286,2.488683818,orphan
Q9H3N1,2.070364223,2.372881292,2.208288096,other
Q9H3K2,1.77047908,2.032550057,1.58579237,mito
Q9H300,3.707404508,3.431982435,1.561814354,mito
Q9H2U2,1.902608028,2.499848655,3.054675194,mito
Q9H2D1,2.71622268,2.76762547,2.237884422,mito
Q9H1E5,1.987171392,1.627802663,1.556245233,other
Q9H0U4,0.794619055,-0.182693768,1.432997027,other
Q9H0R6,3.294571119,3.26774851,3.541950851,mito
Q9H074,1.856598521,2.555962426,1.167855517,other
Q9H061,2.909614907,3.030900365,2.45361178,mito
Q9GZT6,3.45730563,3.385636683,2.566341337,mito
Q9GZT3,2.248138241,3.246494687,1.347001101,mito
Q9C0D9,1.943576417,2.236031084,1.824643451,other
Q9BZE1,3.615355109,3.674658759,2.521655571,mito
Q9BYT8,1.276161925,2.742850433,2.909057628,mito
Q9BYD3,3.30117164,3.298221317,3.261913431,mito
Q9BXW7,3.510083323,3.248653587,3.328374374,mito
Q9BWD1,0.886418076,1.650496486,1.252720771,other
Q9BW92,3.156873074,3.349755246,2.346312872,mito
Q9BVS5,2.854737039,2.907616932,2.553947336,mito
Q9BUR5,2.854304615,1.065905401,2.468737506,mito
Q9BUN8,1.245047257,1.798865757,1.218348854,other
Q9BUB7,3.427195203,4.126691822,3.282802261,mito
Q9BTX1,0.398773289,1.125390833,0.64674706,other
Q9BTV4,1.630538874,2.394142266,1.627582312,other
Q9BT22,1.9204986,1.79202849,1.095950273,other
Q9BSK2,3.091461732,1.528151993,2.738292799,mito
Q9BSJ8,1.773523886,2.121726017,1.755247232,other
Q9BSJ5,2.213777127,4.271922852,3.0862282,other
Q9BSH4,4.355833933,4.917009202,4.335611737,mito
Q9BSF4,4.213850709,3.972135308,4.01429907,mito
Q9BRT2,4.778504982,4.1791915,4.124745049,mito
Q9BRR6,2.790851281,3.112812901,2.210407107,other
Q9BRJ2,3.513087089,4.842218312,2.924436415,mito
Q9BQP7,2.530884924,3.399744972,2.388288823,mito
Q9BQ95,4.196539436,4.720904815,3.166470555,mito
Q9BQ52,3.121633949,3.533011137,2.532782331,mito
Q99873,1.21985792,1.428542343,1.470976136,other
Q99832,1.108359004,2.122729626,1.758324508,other
Q99829,1.404201446,1.776581119,2.51878769,other
Q99808,1.482301362,1.631135211,1.255059435,other
Q99805,1.297463171,1.355453537,1.15916556,other
Q99798,1.612318064,2.553093736,2.094465506,mito
Q99797,4.182528794,3.312702613,2.492435188,mito
Q99766,4.017360984,4.937763599,3.101239319,mito
Q99735,1.330476108,2.304753362,1.171744984,other
Q99714,3.765787581,3.999710357,4.568640962,mito
Q99623,1.449472977,2.452002294,1.9298538,mito
Q99567,2.030432205,3.328185049,0.99826335,other
Q99497,1.914094885,2.077484005,1.971112066,mito
Q96TC7,2.712949772,2.625697559,2.495538963,mito
Q96SZ6,3.391469513,3.90114444,2.992830931,mito
Q96S66,1.358953426,1.429910317,0.761035613,MAM
Q96RR1,3.007447653,2.495521175,1.946266744,mito
Q96RQ3,-0.589643042,-0.648922183,-0.30824789,mito
Q96RP9,2.381709575,3.307074622,2.70956097,mito
Q96QK1,1.843003958,2.778768697,1.522414256,other
Q96N66,1.119463343,0.96729117,1.365707306,MAM
Q96LL9,1.91820696,3.288057886,3.400800383,mito
Q96KA5,1.716980889,1.540635147,1.162897079,other
Q96I99,2.7294409,4.51678544,2.773511263,mito
Q96I59,2.571934866,2.174105895,2.826171798,mito
Q96HY7,3.619132138,3.313173031,-0.929449226,mito
Q96HS1,3.905586731,3.88227655,3.283335113,mito
Q96HP4,4.508492063,3.077475819,2.92493124,mito
Q96GW9,3.733671518,3.430788672,2.863676119,mito
Q96GC9,2.924349969,2.844619532,2.38089097,MAM
Q96G23,0.873002701,1.53196972,1.145153485,other
Q96EY8,3.236184541,3.512671267,2.507236452,mito
Q96EY7,4.546459305,4.421904391,3.692449209,mito
Q96EY1,0.998022149,2.434808929,3.341446006,mito
Q96EL3,2.207074993,2.615484269,3.947142911,mito
Q96E11,3.855142112,3.833121576,3.177733866,mito
Q96DV4,1.639340478,3.620880233,1.835071975,mito
Q96DP5,3.105449751,2.873667271,3.046679125,mito
Q96D53,2.754126552,3.599554327,3.038007683,mito
Q96CU9,2.189760312,1.440431806,2.717337523,mito
Q96CQ1,3.967294487,3.577381598,3.23915152,mito
Q96CB9,2.798555633,3.195302784,1.847730723,mito
Q96C36,1.937174824,2.690975381,3.202030239,mito
Q96BW9,2.317204576,3.402758059,2.561801034,mito
Q96B77,4.244565413,2.847836731,3.428191577,mito
Q96AQ8,3.80005007,3.4722586,2.690601443,mito
Q96AG4,1.048796592,1.39801724,1.211093249,other
Q96AB3,4.147767634,3.429011596,3.884071736,mito
Q96A35,1.510098728,3.145264146,2.238611568,mito
Q96A26,3.477065243,3.800314649,3.724935516,mito
Q969Z0,4.033631177,3.854311253,3.570716591,mito
Q969Y2,3.425191698,1.747684702,3.655189542,mito
Q969S9,1.566602764,3.680970573,2.779846207,mito
Q969N2,2.583635984,2.408770653,2.508273717,other
Q92973,1.561478411,1.756819881,1.414113388,other
Q92947,2.982653237,2.952160897,2.298852823,mito
Q92685,2.160906785,1.947540783,1.368656865,other
Q92665,5.063226125,5.537104611,4.033558583,mito
Q92616,2.33547437,0.490001102,1.633211305,other
Q92552,2.972256793,5.351509361,3.7637832,mito
Q92544,1.560708623,1.18924326,1.578387108,other
Q8WWC4,2.781420044,4.310540236,2.922376102,mito
Q8WUM4,1.19043379,1.313166592,1.164501669,other
Q8TEX9,1.423211276,1.336124855,1.409053374,other
Q8TCT9,1.941934889,2.21896953,1.880610568,other
Q8TCS8,3.365468572,3.186176961,3.266133019,mito
Q8TCJ2,1.17057487,1.149580959,1.230328747,other
Q8TC12,0.843069815,0.980971664,0.897061062,other
Q8TBP6,2.420826249,3.895692993,2.905125018,mito
Q8TAE8,5.011623829,3.255503895,2.526848978,mito
Q8NI60,2.655717657,2.639630555,2.57256366,mito
Q8NFF5,2.781019002,3.534184653,3.049519693,mito
Q8NE86,2.423318563,3.008422832,3.088930377,mito
Q8NC60,3.39142675,2.277137582,1.573396228,mito
Q8NBS9,0.394595574,0.388270582,0.412713626,other
Q8NBM4,2.301326567,2.482215824,0.895013156,other
Q8NBI6,2.145848027,2.212853193,2.204984103,other
Q8N8Q8,1.847608729,3.675808752,3.170940584,mito
Q8N2F6,3.323578948,3.777151255,2.999212374,mito
Q8IYQ7,3.755466602,3.981634054,2.716636218,mito
Q8IYB8,3.527075233,2.564943856,2.598491623,mito
Q8IVS2,4.164185975,3.408503854,2.201256556,mito
Q8IV08,0.45518014,-0.110771354,0.536446853,other
Q86YH6,2.192546078,2.994256892,2.270390369,mito
Q86VP6,1.228185905,0.746603272,1.512411876,other
Q86UY8,2.646437561,2.101329273,-0.082511187,mito
Q86SX6,4.79784068,4.086706017,3.997514366,mito
Q7Z7H8,3.884662002,3.119991089,3.835458627,mito
Q7Z4W1,1.658927634,1.612900049,2.531613537,mito
Q7Z2W9,2.779084645,2.908903945,4.728195792,mito
Q7Z2W4,1.608580882,1.756699717,1.649920378,other
Q7L8L6,3.207875305,3.0171932,3.013453614,mito
Q7L592,1.91095478,2.466163745,3.089038407,mito
Q7L3T8,1.664261666,2.011966227,1.981455076,mito
Q7L2H7,1.126107235,1.120891057,1.863787345,other
Q7L2E3,2.479209772,3.080618093,3.102740122,mito
Q7L0Y3,4.229245388,4.029932703,3.603136791,mito
Q7KZN9,4.295858276,4.218383653,2.750718999,mito
Q7KZF4,1.533189229,1.452983422,1.397386016,mito
Q70UQ0,2.016224123,2.605722611,1.811509402,other
Q6YN16,4.37781472,3.776575658,2.088474421,mito
Q6UB35,2.995462472,3.613316976,2.879880396,mito
Q6UB28,3.865798935,4.014822546,2.234424365,mito
Q6RW13,1.691343647,0.328146581,1.81420268,other
Q6PML9,3.441303931,2.836251032,1.993855002,mito
Q6PI48,4.052365332,3.518610347,3.918203001,mito
Q6P4A7,2.261119675,2.17358358,1.907914583,mito
Q6P1X6,4.452084049,2.177126311,2.469423933,mito
Q6P1Q0,2.373984717,3.458295716,2.682288556,mito
Q6P087,3.873226698,3.194868391,3.070690893,mito
Q6NVY1,2.512481798,4.060209824,1.941590023,mito
Q6NUQ4,1.787582679,1.942849067,1.364823101,other
Q6NUM9,1.075903643,1.452260945,1.122060872,other
Q6NUK1,2.404871876,2.258507216,2.075512894,mito
Q6L8Q7,1.722503178,1.539538778,2.574072049,mito
Q6JQN1,2.513932219,3.614024655,4.0304174,mito
Q6DD88,2.193808148,2.558062784,2.268195547,other
Q5TC12,3.736181867,3.514154007,2.652677339,mito
Q5T9A4,3.500691458,4.251694591,3.956691082,mito
Q5T653,4.192159987,2.555728697,2.40373693,mito
Q5T440,3.636818409,2.440582791,3.524291951,mito
Q5T2R2,2.772800362,2.672737233,2.954690061,mito
Q5T160,3.304375528,4.17150359,2.297925438,mito
Q5ST30,3.373619237,1.13406877,2.161534039,mito
Q5SNT2,1.575643555,3.793928288,1.712139422,other
Q5RI15,3.959576927,4.838884417,3.82775285,mito
Q5JTZ9,3.569262297,2.06011257,2.799639614,mito
Q5JRX3,2.3522697,3.26904355,2.665966421,mito
Q5JPH6,2.984025262,2.748120179,2.572381048,mito
Q5J8M3,0.365081197,2.236477009,2.169839041,other
Q5BJD5,2.571613165,2.028409541,2.025814394,MAM
Q567V2,2.768861859,2.735718895,2.361784354,mito
Q53S58,4.104481687,3.423812322,1.905135477,mito
Q53R41,2.465809305,3.082801904,2.776515683,mito
Q53H12,2.194956182,2.178805954,2.275866704,mito
Q4G176,4.297255408,3.226100481,2.757718271,mito
Q4G0N4,1.244861412,2.787167267,2.572000358,mito
Q4G0I0,5.655287515,3.456075437,3.496769181,mito
Q3ZCQ8,2.665428958,2.132892514,2.621886992,mito
Q16891,1.156482467,1.627842288,1.675289136,mito
Q16881,-0.263613789,-0.160636709,0.209207216,mito
Q16850,1.005134468,1.878195165,1.000834074,other
Q16836,2.252726662,2.358080904,2.750865124,mito
Q16795,2.569279574,3.497456765,2.175224949,mito
Q16740,2.420564177,3.576912034,2.810994,mito
Q16698,2.737091801,2.422842738,1.730005118,mito
Q16658,1.413572487,1.52802713,1.538803351,other
Q16543,1.600426077,2.356450224,1.853909058,other
Q16531,1.387061402,0.28852017,0.794104901,other
Q16134,3.446674494,3.151625996,2.678445072,mito
Q15800,1.55232349,2.308595338,1.782490203,other
Q15758,1.390958735,0.873842317,1.567476314,other
Q15629,2.449672454,1.81306364,0.473295657,other
Q15393,0.745456197,1.101439967,1.487297585,other
Q15392,1.218758374,1.673814908,1.180415267,other
Q15388,2.594505285,3.136798162,2.338837315,mito
Q15366,1.655432287,2.046626247,1.579098093,other
Q15365,0.738774979,1.479731477,1.039433161,other
Q15269,1.261770087,1.055936827,1.565629146,other
Q15233,1.049331275,1.189116643,1.087444971,other
Q15185,1.040696985,1.776199224,1.617098307,other
Q15084,0.117633705,0.226441832,0.427898139,other
Q15070,3.209142892,4.674208692,4.073843168,mito
Q15046,2.441582339,1.507314527,1.795842423,mito
Q15031,3.485662391,3.50754431,2.624742646,mito
Q15005,1.29450163,1.774240833,1.509916305,other
Q14CZ7,3.442205854,2.920621597,3.107447968,mito
Q14974,1.670944131,1.527565191,1.568398002,other
Q14739,1.833882762,1.821001131,1.769005419,MAM
