UniProt ID,tSNE-1,tSNE-2,group
Q9Y6M9,-26.295013,54.381756,mito
Q9Y6C9,-11.053294,19.083866,mito
Q9Y678,6.229063,-25.382053,other
Q9Y619,-34.265038,37.386494,mito
Q9Y606,-34.913643,36.752785,mito
Q9Y5M8,5.935585,27.648418,other
Q9Y5L0,7.604429,-15.766024,other
Q9Y5B9,23.570312,-35.67795,other
Q9Y4W6,-3.091626,31.6691,mito
Q9Y490,8.374938,-46.450077,other
Q9Y3F4,12.289968,-16.666842,other
Q9Y3E5,-27.348988,30.209408,mito
Q9Y399,3.58418,7.765815,mito
Q9Y320,20.097836,-11.9617815,mito
Q9Y305,-17.153723,9.152595,mito
Q9Y2Z4,-5.7654433,23.775871,mito
Q9Y2Z2,1.433967,30.342365,mito
Q9Y2U8,-2.2959118,-17.390572,other
Q9Y2S7,-22.401697,51.38378,mito
Q9Y2Q3,-10.761083,29.764378,mito
Q9Y277,-7.7070966,22.676334,mito
Q9Y276,-8.340496,21.721754,mito
Q9Y263,-2.1610425,-38.520428,other
Q9Y262,18.374445,-13.766079,other
Q9UQ80,26.965921,-44.63135,other
Q9UMS0,-15.3799715,30.083813,mito
Q9ULV4,-0.5444437,-13.822817,other
Q9UJZ1,-25.275272,34.86856,mito
Q9UJS0,-10.316578,26.731577,mito
Q9UI26,0.41977656,7.2685895,other
Q9UHG3,22.009562,-36.84748,other
Q9UHD1,15.64755,-12.316548,other
Q9UH99,12.317341,-2.5636382,other
Q9UH62,-21.623459,45.14777,mito
Q9UGP8,-8.668301,-15.329561,other
Q9UBX3,-27.40075,34.52411,mito
Q9UBQ7,-0.05261671,37.49239,mito
Q9UBM7,16.955671,-26.881605,other
Q9UBB4,19.458382,-22.886602,other
Q9P2X0,-27.603422,29.33599,other
Q9P2R7,-13.891196,4.789361,mito
Q9P0S9,-3.6086712,24.33631,mito
Q9P0L0,-14.840337,11.255435,MAM
Q9P035,-0.21952935,-8.421265,other
Q9NZJ7,1.7059207,7.085111,mito
Q9NZJ6,-28.948454,43.112877,mito
Q9NZ01,1.3936898,-14.169649,other
Q9NYY8,-29.565351,29.84769,mito
Q9NYK5,-30.072367,36.97215,mito
Q9NXH9,7.2485547,27.482386,mito
Q9NX40,-5.9386315,39.47757,mito
Q9NWU5,-16.585024,9.664352,mito
Q9NWS8,-1.9553044,-1.887121,mito
Q9NWH2,-8.631836,9.598736,mito
Q9NVV4,-13.279322,57.66334,mito
Q9NVI7,-18.047205,62.819916,mito
Q9NVH6,-14.201377,5.953593,mito
Q9NVH1,-1.2274731,5.4422116,mito
Q9NUJ1,-19.430758,19.097696,mito
Q9NTX5,8.856133,2.8462777,mito
Q9NTJ5,3.073364,-12.448245,other
Q9NSE4,-24.895584,39.159332,mito
Q9NRK6,-3.4465804,3.799238,mito
Q9NRG9,13.032226,-3.639367,other
Q9NR30,12.207031,-54.594242,mito
Q9NQZ5,-6.0907507,-10.82159,mito
Q9NQC3,6.2417526,-49.688892,other
Q9NPL8,0.61672777,6.526882,mito
Q9NP92,-19.174864,58.062447,mito
Q9NP81,3.8677998,12.471038,mito
Q9NP80,-16.521854,38.60219,mito
Q9NNW7,-18.739447,18.324415,mito
Q9HD45,3.189882,-25.104252,other
Q9HD20,17.847506,-16.131384,other
Q9HCC0,-8.753382,27.29578,mito
Q9HC36,-14.808957,36.832153,mito
Q9HC21,-29.465008,30.466883,mito
Q9HC07,-1.4579672,-13.361669,other
Q9HBH1,-6.7302027,40.089718,mito
Q9HAV7,-20.285578,49.01308,mito
Q9HA92,-14.511485,37.428204,mito
Q9HA77,-17.493284,8.15545,mito
Q9H9P8,-4.878607,22.30689,mito
Q9H9J2,-14.302844,61.931423,mito
Q9H9B4,-15.411105,47.7154,mito
Q9H936,-20.33159,58.102253,mito
Q9H8H3,-6.5918574,-17.961796,other
Q9H857,-16.921751,16.639385,mito
Q9H845,2.517121,13.563696,mito
Q9H7Z7,9.772758,-36.5188,mito
Q9H5Q4,-22.41434,53.87176,mito
Q9H4I3,-15.913952,19.889196,orphan
Q9H3N1,2.7587533,6.941762,other
Q9H3K2,3.5930557,-11.852587,mito
Q9H300,-36.44778,37.688095,mito
Q9H2U2,4.865613,26.470655,mito
Q9H2D1,-12.616465,15.273769,mito
